modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Accelo,Accelo_0,30A,1,0.0,253.0,330.0,583.0,253.0
Accelo,Accelo_0,31A,1,0.0,316.0,583.0,899.0,316.0
Accelo,Accelo_1,30A,1,0.0,253.0,660.0,913.0,253.0
Accelo,Accelo_1,31A,1,0.0,316.0,913.0,1229.0,316.0
Accelo,Accelo_0,32A,1,0.0,354.0,899.0,1253.0,354.0
Atego (ATP),Atego (ATP)_2,30A,1,0.0,326.0,990.0,1316.0,326.0
Accelo,Accelo_1,32A,1,24.0,354.0,1253.0,1607.0,354.0
Atego (ATP),Atego (ATP)_2,31A,1,0.0,330.0,1316.0,1646.0,330.0
Accelo,Accelo_0,32C,1,0.0,561.0,1253.0,1814.0,561.0
Atego,Atego_4,30A,1,0.0,314.0,1650.0,1964.0,314.0
Actros,Actros_3,30B,2,0.0,752.0,1320.0,2072.0,752.0
Accelo,Accelo_0,33A,1,0.0,369.0,1814.0,2183.0,369.0
Accelo,Accelo_5,30A,1,0.0,253.0,1980.0,2233.0,253.0
Atego,Atego_4,31A,1,0.0,314.0,1964.0,2278.0,314.0
Atego (ATP),Atego (ATP)_2,32A,1,0.0,677.0,1646.0,2323.0,677.0
Accelo,Accelo_1,32C,1,207.0,561.0,1814.0,2375.0,561.0
Accelo,Accelo_5,31A,1,45.0,316.0,2278.0,2594.0,316.0
Actros,Actros_3,31B,2,0.0,555.0,2072.0,2627.0,555.0
Atego,Atego_4,32A,1,45.0,414.0,2323.0,2737.0,414.0
Accelo,Accelo_1,33A,1,0.0,369.0,2375.0,2744.0,369.0
Accelo,Accelo_0,34A,1,0.0,671.0,2183.0,2854.0,671.0
Atego,Atego_7,30A,1,0.0,314.0,2640.0,2954.0,314.0
Arocs,Arocs_6,30B,2,0.0,752.0,2310.0,3062.0,752.0
Accelo,Accelo_5,32A,1,143.0,354.0,2737.0,3091.0,354.0
Atego (ATP),Atego (ATP)_2,32C,1,52.0,815.0,2375.0,3190.0,815.0
Accelo,Accelo_8,30A,1,0.0,253.0,2970.0,3223.0,253.0
Atego,Atego_7,31A,1,0.0,314.0,2954.0,3268.0,314.0
Accelo,Accelo_0,38,1,0.0,633.0,2854.0,3487.0,633.0
Accelo,Accelo_1,34A,1,110.0,671.0,2854.0,3525.0,671.0
Atego (ATP),Atego (ATP)_2,33A,1,0.0,376.0,3190.0,3566.0,376.0
Accelo,Accelo_8,31A,1,45.0,316.0,3268.0,3584.0,316.0
Actros,Actros_3,32B,2,0.0,965.0,2627.0,3592.0,965.0
Arocs,Arocs_6,31B,2,0.0,555.0,3062.0,3617.0,555.0
Atego,Atego_7,32A,1,0.0,414.0,3268.0,3682.0,414.0
Atego,Atego_4,32C,1,453.0,544.0,3190.0,3734.0,544.0
Accelo,Accelo_8,32A,1,98.0,354.0,3682.0,4036.0,354.0
Actros,Actros_9,30B,2,0.0,752.0,3300.0,4052.0,752.0
Actros,Actros_3,32D,2,0.0,494.0,3592.0,4086.0,494.0
Accelo,Accelo_1,38,1,0.0,633.0,3525.0,4158.0,633.0
Atego,Atego_4,33A,1,0.0,428.0,3734.0,4162.0,428.0
