modelo,nome,posto,entrada,saida,duracao,perna
Atego,Atego_1,30A,330.0,644.0,314.0,1
Atego,Atego_1,31A,644.0,958.0,314.0,1
Accelo,Accelo_3,30A,990.0,1243.0,253.0,1
Arocs,Arocs_2,30B,660.0,1412.0,752.0,2
Accelo,Accelo_3,31A,1243.0,1559.0,316.0,1
Atego (ATP),Atego (ATP)_4,30B,1412.0,1738.0,326.0,2
Arocs,Arocs_2,31B,1412.0,1967.0,555.0,2
Atego (ATP),Atego (ATP)_5,30B,1742.0,2068.0,326.0,2
Atego,Atego_1,32A,958.0,2092.0,1134.0,1
Atego (ATP),Atego (ATP)_4,31B,1738.0,2297.0,559.0,2
Atego,Atego_6,30A,2072.0,2386.0,314.0,1
Atego (ATP),Atego (ATP)_5,31B,2068.0,2627.0,559.0,2
Atego,Atego_6,31A,2386.0,2700.0,314.0,1
Atego,Atego_10,30A,2402.0,2716.0,314.0,1
Arocs,Arocs_2,32B,1967.0,2932.0,965.0,2
Atego,Atego_10,31A,2716.0,3030.0,314.0,1
Atego (ATP),Atego (ATP)_11,30B,2732.0,3058.0,326.0,2
Accelo,Accelo_3,32A,1559.0,3160.0,1601.0,1
Atego (ATP),Atego (ATP)_11,31B,3058.0,3388.0,330.0,2
Arocs,Arocs_2,32D,2932.0,3426.0,494.0,2
Atego (ATP),Atego (ATP)_4,32B,2297.0,3489.0,1192.0,2
Atego,Atego_1,32C,2092.0,3671.5,1579.5,1
Arocs,Arocs_12,30B,3062.0,3814.0,752.0,2
Atego (ATP),Atego (ATP)_5,32B,2627.0,4046.0,1419.0,2
Atego,Atego_6,32A,2700.0,4294.0,1594.0,1
Arocs,Arocs_12,31B,3814.0,4369.0,555.0,2
Atego,Atego_15,30A,4144.0,4458.0,314.0,1
Actros,Actros_14,30B,3814.0,4566.0,752.0,2
Atego (ATP),Atego (ATP)_11,32B,3388.0,4603.0,1215.0,2
Accelo,Accelo_16,30A,4474.0,4727.0,253.0,1
Atego,Atego_15,31A,4458.0,4772.0,314.0,1
Accelo,Accelo_16,31A,4727.0,5088.0,361.0,1
Actros,Actros_14,31B,4566.0,5121.0,555.0,2
Accelo,Accelo_3,32C,3160.0,5250.5,2090.5,1
Atego,Atego_10,32A,3030.0,5428.0,2398.0,1
Atego,Atego_1,33A,3671.5,5435.5,1764.0,1
Atego,Atego_19,30A,5134.0,5448.0,314.0,1
Actros,Actros_18,30B,4804.0,5556.0,752.0,2
Arocs,Arocs_12,32B,4369.0,5568.0,1199.0,2
Atego,Atego_19,31A,5448.0,5762.0,314.0,1
Atego,Atego_20,30A,5464.0,5778.0,314.0,1
Atego (ATP),Atego (ATP)_4,32D,3489.0,5859.0,2370.0,2
Atego,Atego_20,31A,5778.0,6092.0,314.0,1
Actros,Actros_18,31B,5556.0,6111.0,555.0,2
Atego (ATP),Atego (ATP)_21,30B,5794.0,6120.0,326.0,2
Accelo,Accelo_23,30A,6124.0,6377.0,253.0,1
Atego (ATP),Atego (ATP)_21,31B,6120.0,6450.0,330.0,2
Actros,Actros_14,32B,5121.0,6533.0,1412.0,2
Atego,Atego_15,32A,4772.0,6562.0,1790.0,1
Accelo,Accelo_23,31A,6377.0,6693.0,316.0,1
Atego,Atego_6,32C,4294.0,6830.0,2536.0,1
Atego,Atego_1,34A,5435.5,6902.0,1466.5,1
Arocs,Arocs_2,33B,3426.0,6977.666666666666,3551.666666666666,2
Accelo,Accelo_3,33A,5250.5,7018.5,1768.0,1
Actros,Actros_24,30B,6454.0,7206.0,752.0,2
Actros,Actros_18,32B,6111.0,7498.0,1387.0,2
Accelo,Accelo_16,32A,5088.0,7630.0,2542.0,1
Actros,Actros_24,31B,7206.0,7761.0,555.0,2
Atego,Atego_26,30A,7536.0,7850.0,314.0,1
Atego,Atego_1,38,6902.0,7923.0,1021.0,1
Actros,Actros_25,30B,7206.0,7958.0,752.0,2
Atego (ATP),Atego (ATP)_21,32B,6450.0,8055.0,1605.0,2
Atego,Atego_26,31A,7850.0,8164.0,314.0,1
Atego (ATP),Atego (ATP)_5,32D,4046.0,8229.0,4183.0,2
Atego,Atego_10,32C,5428.0,8409.5,2981.5,1
Accelo,Accelo_3,34A,7018.5,8494.5,1476.0,1
Actros,Actros_25,31B,7958.0,8513.0,555.0,2
Atego,Atego_28,30A,8288.0,8602.0,314.0,1
Atego (ATP),Atego (ATP)_4,33B,5859.0,8705.666666666666,2846.666666666666,2
Arocs,Arocs_27,30B,7958.0,8710.0,752.0,2
Atego,Atego_19,32A,5762.0,8764.0,3002.0,1
Atego,Atego_6,33A,6830.0,8782.5,1952.5,1
Atego,Atego_28,31A,8602.0,8916.0,314.0,1
Atego,Atego_29,30A,8618.0,8932.0,314.0,1
Actros,Actros_24,32B,7761.0,9020.0,1259.0,2
Accelo,Accelo_30,30A,8948.0,9201.0,253.0,1
Atego,Atego_29,31A,8932.0,9246.0,314.0,1
Arocs,Arocs_27,31B,8710.0,9265.0,555.0,2
Accelo,Accelo_3,38,8494.5,9515.5,1021.0,1
Accelo,Accelo_30,31A,9201.0,9562.0,361.0,1
Atego,Atego_33,30A,9278.0,9592.0,314.0,1
Atego,Atego_20,32A,6092.0,9898.0,3806.0,1
Atego,Atego_33,31A,9592.0,9906.0,314.0,1
Actros,Actros_25,32B,8513.0,9985.0,1472.0,2
Atego,Atego_15,32C,6562.0,9989.0,3427.0,1
Atego,Atego_6,34A,8782.5,10249.0,1466.5,1
Atego,Atego_37,30A,9938.0,10252.0,314.0,1
Actros,Actros_36,30B,9608.0,10360.0,752.0,2
Atego (ATP),Atego (ATP)_5,33B,8229.0,10433.666666666666,2204.666666666666,2
Atego,Atego_10,33A,8409.5,10546.5,2137.0,1
Atego,Atego_37,31A,10252.0,10566.0,314.0,1
Atego (ATP),Atego (ATP)_11,32D,4603.0,10599.0,5996.0,2
Actros,Actros_36,31B,10360.0,10915.0,555.0,2
Arocs,Arocs_27,32B,9265.0,10950.0,1685.0,2
Accelo,Accelo_23,32A,6693.0,10966.0,4273.0,1
Arocs,Arocs_12,32D,5568.0,11093.0,5525.0,2
Actros,Actros_39,30B,10360.0,11112.0,752.0,2
Atego,Atego_6,38,10249.0,11270.0,1021.0,1
Atego (ATP),Atego (ATP)_40,30B,11112.0,11438.0,326.0,2
Accelo,Accelo_16,32C,7630.0,11568.0,3938.0,1
Actros,Actros_14,32D,6533.0,11587.0,5054.0,2
Actros,Actros_39,31B,11112.0,11667.0,555.0,2
Actros,Actros_36,32B,10915.0,11915.0,1000.0,2
Atego (ATP),Atego (ATP)_40,31B,11438.0,11997.0,559.0,2
Atego,Atego_10,34A,10546.5,12013.0,1466.5,1
Actros,Actros_18,32D,7498.0,12081.0,4583.0,2
Atego,Atego_26,32A,8164.0,12100.0,3936.0,1
Actros,Actros_44,30B,11442.0,12194.0,752.0,2
Atego,Atego_15,33A,9989.0,12310.5,2321.5,1
Atego (ATP),Atego (ATP)_11,33B,10599.0,12327.0,1728.0,2
Arocs,Arocs_2,34B,6977.666666666666,12497.333333333332,5519.666666666666,2
Actros,Actros_44,31B,12194.0,12749.0,555.0,2
Accelo,Accelo_47,30A,12524.0,12777.0,253.0,1
Actros,Actros_39,32B,11667.0,12880.0,1213.0,2
Actros,Actros_46,30B,12194.0,12946.0,752.0,2
Atego,Atego_10,38,12013.0,13034.0,1021.0,1
Accelo,Accelo_47,31A,12777.0,13093.0,316.0,1
Atego,Atego_19,32C,8764.0,13147.5,4383.5,1
Atego,Atego_48,30A,12854.0,13168.0,314.0,1
Atego,Atego_28,32A,8916.0,13234.0,4318.0,1
Atego (ATP),Atego (ATP)_40,32B,11997.0,13437.0,1440.0,2
Accelo,Accelo_51,30A,13184.0,13437.0,253.0,1
Atego,Atego_48,31A,13168.0,13482.0,314.0,1
Actros,Actros_46,31B,12946.0,13501.0,555.0,2
Atego,Atego_15,34A,12310.5,13777.0,1466.5,1
Accelo,Accelo_51,31A,13437.0,13798.0,361.0,1
Accelo,Accelo_16,33A,11568.0,13893.5,2325.5,1
Accelo,Accelo_55,30A,13844.0,14097.0,253.0,1
Actros,Actros_54,30B,13514.0,14266.0,752.0,2
Atego,Atego_29,32A,9246.0,14368.0,5122.0,1
Actros,Actros_44,32B,12749.0,14402.0,1653.0,2
Accelo,Accelo_55,31A,14097.0,14413.0,316.0,1
Accelo,Accelo_57,30A,14174.0,14427.0,253.0,1
Atego (ATP),Atego (ATP)_21,32D,8055.0,14451.0,6396.0,2
