modelo,nome,posto,entrada,saida,duracao,perna
Atego,Atego_0,30A,330.0,644.0,314.0,1
Atego,Atego_0,31A,644.0,958.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_1,30B,660.0,974.0,314.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_1,31B,974.0,1288.0,314.0,2
Atego (ATP),Atego (ATP)_2,30B,990.0,1316.0,326.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_1,32B,1288.0,1582.0,294.0,2
Atego (ATP),Atego (ATP)_2,31B,1316.0,1646.0,330.0,2
Actros,Actros_3,30B,1320.0,2072.0,752.0,2
Atego,Atego_0,32A,958.0,2092.0,1134.0,1
Atego (ATP),Atego (ATP)_2,32B,1646.0,2203.0,557.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_1,32D,1582.0,2479.0,897.0,2
Actros,Actros_3,31B,2072.0,2627.0,555.0,2
Accelo,Accelo_6,30A,2402.0,2655.0,253.0,1
Actros,Actros_5,30B,2072.0,2824.0,752.0,2
Accelo,Accelo_6,31A,2655.0,2971.0,316.0,1
Actros,Actros_5,31B,2824.0,3379.0,555.0,2
Arocs,Arocs_7,30B,2824.0,3576.0,752.0,2
Actros,Actros_3,32B,2627.0,3592.0,965.0,2
Atego,Atego_0,32C,2092.0,3671.5,1579.5,1
Accelo,Accelo_6,32A,2971.0,4039.0,1068.0,1
Arocs,Arocs_7,31B,3576.0,4131.0,555.0,2
Atego,Atego_12,30A,3906.0,4220.0,314.0,1
Arocs,Arocs_10,30B,3576.0,4328.0,752.0,2
Accelo,Accelo_13,30A,4236.0,4489.0,253.0,1
Atego,Atego_12,31A,4220.0,4534.0,314.0,1
Actros,Actros_5,32B,3379.0,4557.0,1178.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_1,33B,2479.0,4671.0,2192.0,2
Accelo,Accelo_13,31A,4489.0,4850.0,361.0,1
Arocs,Arocs_10,31B,4328.0,4883.0,555.0,2
Atego,Atego_15,30A,4896.0,5210.0,314.0,1
Atego (ATP),Atego (ATP)_2,32D,2203.0,5211.0,3008.0,2
Arocs,Arocs_14,30B,4566.0,5318.0,752.0,2
Atego,Atego_0,33A,3671.5,5435.5,1764.0,1
Arocs,Arocs_7,32B,4131.0,5522.0,1391.0,2
Atego,Atego_15,31A,5210.0,5524.0,314.0,1
Atego,Atego_16,30A,5226.0,5540.0,314.0,1
Accelo,Accelo_6,32C,4039.0,5618.0,1579.0,1
Atego,Atego_12,32A,4534.0,5668.0,1134.0,1
Atego,Atego_16,31A,5540.0,5854.0,314.0,1
