modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Accelo,Accelo_0,30A,1,0.0,253.0,330.0,583.0,253.0
Accelo,Accelo_0,31A,1,0.0,316.0,583.0,899.0,316.0
Atego (ATP),Atego (ATP)_1,30B,2,0.0,326.0,660.0,986.0,326.0
Accelo,Accelo_2,30A,1,0.0,253.0,990.0,1243.0,253.0
Accelo,Accelo_0,32A,1,0.0,354.0,899.0,1253.0,354.0
Atego (ATP),Atego (ATP)_1,31B,2,0.0,330.0,986.0,1316.0,330.0
Accelo,Accelo_2,31A,1,0.0,316.0,1243.0,1559.0,316.0
Accelo,Accelo_0,32C,1,0.0,561.0,1253.0,1814.0,561.0
Atego (ATP),Atego (ATP)_1,32B,2,0.0,557.0,1316.0,1873.0,557.0
Accelo,Accelo_2,32A,1,0.0,354.0,1559.0,1913.0,354.0
Actros,Actros_3,30B,2,0.0,752.0,1320.0,2072.0,752.0
Accelo,Accelo_0,33A,1,0.0,369.0,1814.0,2183.0,369.0
Atego quinta roda,Atego quinta roda_4,30B,2,0.0,326.0,2072.0,2398.0,326.0
Accelo,Accelo_2,32C,1,0.0,561.0,1913.0,2474.0,561.0
Atego (ATP),Atego (ATP)_1,32D,2,0.0,695.0,1873.0,2568.0,695.0
Actros,Actros_3,31B,2,0.0,555.0,2072.0,2627.0,555.0
Accelo,Accelo_5,30A,1,0.0,253.0,2402.0,2655.0,253.0
Accelo,Accelo_2,33A,1,0.0,369.0,2474.0,2843.0,369.0
Accelo,Accelo_0,34A,1,0.0,671.0,2183.0,2854.0,671.0
Atego (ATP),Atego (ATP)_1,33B,2,0.0,376.0,2568.0,2944.0,376.0
Atego quinta roda,Atego quinta roda_4,31B,2,229.0,330.0,2627.0,2957.0,330.0
Accelo,Accelo_5,31A,1,0.0,316.0,2655.0,2971.0,316.0
Atego (ATP),Atego (ATP)_6,30B,2,0.0,326.0,2732.0,3058.0,326.0
Accelo,Accelo_5,32A,1,0.0,354.0,2971.0,3325.0,354.0
Atego (ATP),Atego (ATP)_1,34B,2,0.0,395.0,2944.0,3339.0,395.0
Atego (ATP),Atego (ATP)_6,31B,2,0.0,330.0,3058.0,3388.0,330.0
Atego quinta roda,Atego quinta roda_7,30B,2,0.0,326.0,3062.0,3388.0,326.0
Atego (ATP),Atego (ATP)_1,39,2,0.0,120.0,3339.0,3459.0,120.0
Accelo,Accelo_0,38,1,0.0,633.0,2854.0,3487.0,633.0
Accelo,Accelo_2,34A,1,11.0,671.0,2854.0,3525.0,671.0
Actros,Actros_3,32B,2,0.0,965.0,2627.0,3592.0,965.0
Atego,Atego_8,30A,1,0.0,314.0,3392.0,3706.0,314.0
Atego quinta roda,Atego quinta roda_7,31B,2,0.0,330.0,3388.0,3718.0,330.0
Accelo,Accelo_5,32C,1,0.0,561.0,3325.0,3886.0,561.0
Accelo,Accelo_9,30A,1,0.0,253.0,3722.0,3975.0,253.0
Atego,Atego_8,31A,1,0.0,314.0,3706.0,4020.0,314.0
Actros,Actros_3,32D,2,0.0,494.0,3592.0,4086.0,494.0
Atego quinta roda,Atego quinta roda_4,32B,2,635.0,557.0,3592.0,4149.0,557.0
