modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Accelo,Accelo_0,30A,1,0.0,253.0,330.0,583.0,253.0
Accelo,Accelo_0,31A,1,0.0,316.0,583.0,899.0,316.0
Atego (ATP),Atego (ATP)_1,30A,1,0.0,326.0,660.0,986.0,326.0
Accelo,Accelo_2,30A,1,0.0,253.0,990.0,1243.0,253.0
Accelo,Accelo_0,32A,1,0.0,354.0,899.0,1253.0,354.0
Atego (ATP),Atego (ATP)_1,31A,1,0.0,330.0,986.0,1316.0,330.0
Accelo,Accelo_2,31A,1,73.0,316.0,1316.0,1632.0,316.0
Accelo,Accelo_0,32C,1,0.0,561.0,1253.0,1814.0,561.0
Atego,Atego_4,30A,1,0.0,314.0,1650.0,1964.0,314.0
Atego (ATP),Atego (ATP)_1,32A,1,0.0,677.0,1316.0,1993.0,677.0
Actros,Actros_3,30B,2,0.0,752.0,1320.0,2072.0,752.0
Accelo,Accelo_0,33A,1,0.0,369.0,1814.0,2183.0,369.0
Accelo,Accelo_5,30A,1,0.0,253.0,1980.0,2233.0,253.0
Atego,Atego_4,31A,1,0.0,314.0,1964.0,2278.0,314.0
Accelo,Accelo_2,32A,1,361.0,354.0,1993.0,2347.0,354.0
Accelo,Accelo_5,31A,1,45.0,316.0,2278.0,2594.0,316.0
Actros,Actros_3,31B,2,0.0,555.0,2072.0,2627.0,555.0
Atego (ATP),Atego (ATP)_6,30A,1,0.0,326.0,2310.0,2636.0,326.0
Atego,Atego_4,32A,1,69.0,414.0,2347.0,2761.0,414.0
Atego (ATP),Atego (ATP)_1,32C,1,0.0,815.0,1993.0,2808.0,815.0
Accelo,Accelo_0,34A,1,0.0,671.0,2183.0,2854.0,671.0
Atego,Atego_7,30A,1,0.0,314.0,2640.0,2954.0,314.0
Atego (ATP),Atego (ATP)_6,31A,1,0.0,330.0,2636.0,2966.0,330.0
Accelo,Accelo_5,32A,1,167.0,354.0,2761.0,3115.0,354.0
Atego (ATP),Atego (ATP)_1,33A,1,0.0,376.0,2808.0,3184.0,376.0
Atego,Atego_7,31A,1,12.0,314.0,2966.0,3280.0,314.0
Atego,Atego_8,30A,1,0.0,314.0,2970.0,3284.0,314.0
Accelo,Accelo_2,32C,1,461.0,561.0,2808.0,3369.0,561.0
Accelo,Accelo_0,38,1,0.0,633.0,2854.0,3487.0,633.0
Accelo,Accelo_9,30A,1,0.0,253.0,3300.0,3553.0,253.0
Actros,Actros_3,32B,2,0.0,965.0,2627.0,3592.0,965.0
Atego,Atego_8,31A,1,0.0,314.0,3284.0,3598.0,314.0
Accelo,Accelo_2,33A,1,0.0,369.0,3369.0,3738.0,369.0
Atego (ATP),Atego (ATP)_6,32A,1,149.0,677.0,3115.0,3792.0,677.0
Atego (ATP),Atego (ATP)_1,34A,1,0.0,650.0,3184.0,3834.0,650.0
Accelo,Accelo_10,30A,1,0.0,253.0,3630.0,3883.0,253.0
Atego,Atego_4,32C,1,608.0,544.0,3369.0,3913.0,544.0
Accelo,Accelo_9,31A,1,45.0,316.0,3598.0,3914.0,316.0
Actros,Actros_3,32D,2,0.0,494.0,3592.0,4086.0,494.0
Atego,Atego_7,32A,1,512.0,414.0,3792.0,4206.0,414.0
Accelo,Accelo_11,30A,1,0.0,253.0,3960.0,4213.0,253.0
Accelo,Accelo_10,31A,1,31.0,316.0,3914.0,4230.0,316.0
Atego,Atego_4,33A,1,0.0,428.0,3913.0,4341.0,428.0
Atego (ATP),Atego (ATP)_1,38,1,0.0,633.0,3834.0,4467.0,633.0
Accelo,Accelo_5,32C,1,798.0,561.0,3913.0,4474.0,561.0
Accelo,Accelo_2,34A,1,96.0,671.0,3834.0,4505.0,671.0
Accelo,Accelo_11,31A,1,17.0,316.0,4230.0,4546.0,316.0
Atego (ATP),Atego (ATP)_12,30A,1,0.0,326.0,4290.0,4616.0,326.0
Atego,Atego_8,32A,1,608.0,414.0,4206.0,4620.0,414.0
Accelo,Accelo_5,33A,1,0.0,369.0,4474.0,4843.0,369.0
Actros,Actros_3,33B,2,0.0,761.0,4086.0,4847.0,761.0
Atego,Atego_13,30A,1,0.0,314.0,4620.0,4934.0,314.0
Atego (ATP),Atego (ATP)_12,31A,1,0.0,330.0,4616.0,4946.0,330.0
Accelo,Accelo_9,32A,1,706.0,354.0,4620.0,4974.0,354.0
Accelo,Accelo_2,38,1,0.0,633.0,4505.0,5138.0,633.0
Atego,Atego_4,34A,1,164.0,646.0,4505.0,5151.0,646.0
Atego,Atego_13,31A,1,12.0,314.0,4946.0,5260.0,314.0
Atego 8x2 e 8x4,Atego 8x2 e 8x4_14,30B,2,0.0,314.0,4950.0,5264.0,314.0
